分类: 📺央视频道, 名称: CCTV-1, 有效: 10, IPv4: 66, IPv6: 0, 最小延迟: 58 ms, 最高速率: 9.40 M/s, 平均速率: 6.56 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 9, IPv4: 62, IPv6: 0, 最小延迟: 51 ms, 最高速率: 13.38 M/s, 平均速率: 4.23 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 9, IPv4: 61, IPv6: 0, 最小延迟: 563 ms, 最高速率: 17.69 M/s, 平均速率: 6.65 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 10, IPv4: 68, IPv6: 0, 最小延迟: 43 ms, 最高速率: 14.20 M/s, 平均速率: 4.45 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 10, IPv4: 62, IPv6: 0, 最小延迟: 39 ms, 最高速率: 15.54 M/s, 平均速率: 6.06 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 6, IPv4: 37, IPv6: 0, 最小延迟: 37 ms, 最高速率: 15.15 M/s, 平均速率: 6.67 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 8, IPv4: 55, IPv6: 0, 最小延迟: 451 ms, 最高速率: 6.85 M/s, 平均速率: 3.47 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 11, IPv4: 63, IPv6: 0, 最小延迟: 37 ms, 最高速率: 14.75 M/s, 平均速率: 6.75 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 10, IPv4: 55, IPv6: 0, 最小延迟: 394 ms, 最高速率: 7.19 M/s, 平均速率: 3.19 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 10, IPv4: 58, IPv6: 0, 最小延迟: 34 ms, 最高速率: 15.46 M/s, 平均速率: 8.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 10, IPv4: 63, IPv6: 0, 最小延迟: 43 ms, 最高速率: 12.92 M/s, 平均速率: 5.45 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 8, IPv4: 55, IPv6: 0, 最小延迟: 36 ms, 最高速率: 15.47 M/s, 平均速率: 6.42 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 10, IPv4: 54, IPv6: 0, 最小延迟: 37 ms, 最高速率: 15.34 M/s, 平均速率: 5.07 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 10, IPv4: 64, IPv6: 0, 最小延迟: 39 ms, 最高速率: 13.83 M/s, 平均速率: 10.49 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 7, IPv4: 59, IPv6: 0, 最小延迟: 57 ms, 最高速率: 61.95 M/s, 平均速率: 4.57 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 9, IPv4: 69, IPv6: 0, 最小延迟: 50 ms, 最高速率: 50.58 M/s, 平均速率: 4.35 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 40 ms, 最高速率: 101.78 M/s, 平均速率: 19.18 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 10, IPv4: 41, IPv6: 0, 最小延迟: 45 ms, 最高速率: 54.03 M/s, 平均速率: 17.99 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 39 ms, 最高速率: 14.77 M/s, 平均速率: 10.65 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 33 ms, 最高速率: 15.54 M/s, 平均速率: 14.14 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 537 ms, 最高速率: 4.96 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 💰央视付费频道, 名称: 央视台球, 有效: 3, IPv4: 6, IPv6: 0, 最小延迟: 471 ms, 最高速率: 5.96 M/s, 平均速率: 3.57 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 25, IPv6: 0, 最小延迟: 520 ms, 最高速率: 5.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576
分类: 💰央视付费频道, 名称: 文化精品, 有效: 5, IPv4: 9, IPv6: 0, 最小延迟: 955 ms, 最高速率: 27.10 M/s, 平均速率: 9.69 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 6, IPv4: 14, IPv6: 0, 最小延迟: 117 ms, 最高速率: 111.71 M/s, 平均速率: 23.42 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 281 ms, 最高速率: 64.25 M/s, 平均速率: 17.31 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 6, IPv4: 12, IPv6: 0, 最小延迟: 117 ms, 最高速率: 103.51 M/s, 平均速率: 22.19 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 4, IPv4: 12, IPv6: 0, 最小延迟: 297 ms, 最高速率: 48.44 M/s, 平均速率: 16.20 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 风云足球, 有效: 4, IPv4: 6, IPv6: 0, 最小延迟: 559 ms, 最高速率: 6.17 M/s, 平均速率: 4.08 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 5, IPv4: 11, IPv6: 0, 最小延迟: 559 ms, 最高速率: 7.23 M/s, 平均速率: 5.14 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 世界地理, 有效: 5, IPv4: 7, IPv6: 0, 最小延迟: 626 ms, 最高速率: 6.28 M/s, 平均速率: 5.04 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 583 ms, 最高速率: 7.09 M/s, 平均速率: 4.88 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 电视指南, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 562 ms, 最高速率: 6.93 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 10, IPv4: 52, IPv6: 0, 最小延迟: 6 ms, 最高速率: 208.84 M/s, 平均速率: 33.81 M/s, 最高分辨率: 1920x1080
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 4, IPv4: 10, IPv6: 0, 最小延迟: 593 ms, 最高速率: 15.76 M/s, 平均速率: 7.07 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 香港卫视, 有效: 1, IPv4: 8, IPv6: 0, 最小延迟: 10837 ms, 最高速率: 0.38 M/s, 平均速率: 0.38 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 58 ms, 最高速率: 59.96 M/s, 平均速率: 4.30 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 10, IPv4: 53, IPv6: 0, 最小延迟: 7 ms, 最高速率: 14.75 M/s, 平均速率: 8.31 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 46, IPv6: 0, 最小延迟: 7 ms, 最高速率: 17.31 M/s, 平均速率: 7.08 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 10, IPv4: 55, IPv6: 0, 最小延迟: 37 ms, 最高速率: 32.56 M/s, 平均速率: 10.58 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 10, IPv4: 42, IPv6: 0, 最小延迟: 37 ms, 最高速率: 87.89 M/s, 平均速率: 17.19 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 11, IPv4: 42, IPv6: 0, 最小延迟: 32 ms, 最高速率: 16.53 M/s, 平均速率: 7.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 9, IPv4: 49, IPv6: 0, 最小延迟: 60 ms, 最高速率: 60.93 M/s, 平均速率: 3.38 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 10, IPv4: 46, IPv6: 0, 最小延迟: 64 ms, 最高速率: 60.30 M/s, 平均速率: 8.98 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 61 ms, 最高速率: 61.98 M/s, 平均速率: 5.32 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 4, IPv4: 30, IPv6: 0, 最小延迟: 65 ms, 最高速率: 54.47 M/s, 平均速率: 10.35 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 7, IPv4: 42, IPv6: 0, 最小延迟: 59 ms, 最高速率: 59.93 M/s, 平均速率: 7.78 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 7, IPv4: 36, IPv6: 0, 最小延迟: 554 ms, 最高速率: 21.05 M/s, 平均速率: 7.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 3, IPv4: 31, IPv6: 0, 最小延迟: 65 ms, 最高速率: 53.94 M/s, 平均速率: 5.14 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 10, IPv4: 53, IPv6: 0, 最小延迟: 19 ms, 最高速率: 68.11 M/s, 平均速率: 16.27 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 56 ms, 最高速率: 64.13 M/s, 平均速率: 3.77 M/s, 最高分辨率: 1920x1080
